Titulo,Score,Membros,Generos,Episodios,Estudios
Dandadan 2nd Season,8.47,291K,"Action, Comedy, Supernatural","12 eps, 24 min",Science SARU
Sono Bisque Doll wa Koi wo Suru Season 2,8.44,285K,Romance,"12 eps, 23 min",CloverWorks
Kaijuu 8-gou 2nd Season,7.94,189K,"Action, Fantasy, Sci-Fi","11 eps, 23 min",Production I.G
Kaoru Hana wa Rin to Saku,8.80,185K,"Drama, Romance","13 eps, 24 min",CloverWorks
Gachiakuta,8.09,174K,"Action, Fantasy","24 eps, 23 min",Bones Film
Yofukashi no Uta Season 2,8.21,146K,"Romance, Supernatural","12 eps, 22 min",LIDENFILMS
Hikaru ga Shinda Natsu,8.21,137K,"Horror, Mystery, Supernatural","12 eps, 22 min",CygamesPictures
Seishun Buta Yarou wa Santa Claus no Yume wo Minai,8.42,130K,"Drama, Romance, Supernatural","13 eps, 24 min",CloverWorks
Sakamoto Days Part 2,7.91,122K,"Action, Comedy","? eps, 25 min",TMS Entertainment
Tate no Yuusha no Nariagari Season 4,7.45,114K,"Action, Adventure, Drama, Fantasy","12 eps, 23 min",Kinema Citrus
Grand Blue Season 2,8.75,113K,Comedy,"12 eps, 24 min",N/A
Dr. Stone: Science Future Part 2,8.24,109K,"Adventure, Comedy, Sci-Fi","12 eps, 24 min",TMS Entertainment
Silent Witch: Chinmoku no Majo no Kakushigoto,7.91,74K,Fantasy,"13 eps, 24 min",Studio Gokumi
"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu 2nd Season",7.63,67K,"Adventure, Fantasy","? eps, 23 min",Tsumugi Akita Animation Lab
Mizu Zokusei no Mahoutsukai,7.20,64K,"Adventure, Fantasy","? eps, 24 min",N/A
Tougen Anki,7.12,64K,"Action, Fantasy","? eps, 24 min",Studio Hibari
"Kanojo, Okarishimasu 4th Season",6.23,63K,"Comedy, Romance","12 eps, 24 min",TMS Entertainment
Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,7.88,61K,"Action, Fantasy","12 eps, 23 min",Lay-duce
New Panty & Stocking with Garterbelt,8.11,55K,"Action, Comedy, Fantasy, Ecchi","13 eps, 24 min",Trigger
Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,7.07,52K,"Adventure, Fantasy","12 eps, 23 min",Maho Film
"Watashi ga Koibito ni Nareru Wake Nai jan, Muri Muri! (※Muri ja Nakatta!?)",7.65,45K,"Comedy, Girls Love","12 eps, 23 min",studio MOTHER
City The Animation,7.83,45K,Comedy,"13 eps, 27 min",Kyoto Animation
Kakkou no Iinazuke Season 2,7.11,44K,"Comedy, Romance","12 eps, 23 min",Okuruto Noboru
Tsuyokute New Saga,6.78,43K,"Adventure, Fantasy","12 eps, 23 min",N/A
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 2nd Season,6.67,39K,"Comedy, Fantasy","? eps, 23 min",N/A
"Mikadono Sanshimai wa Angai, Choroi.",7.53,38K,"Comedy, Romance","12 eps, 23 min",P.A. Works
Ruri no Houseki,7.66,36K,Slice of Life,"13 eps, 23 min",Studio Bind
Watari-kun no xx ga Houkai Sunzen,6.47,35K,"Comedy, Drama, Romance","? eps, 23 min",Staple Entertainment
"Yuusha Party wo Tsuihou sareta Shiromadoushi, S-Rank Boukensha ni Hirowareru: Kono Shiromadoushi ga Kikakugai Sugiru",6.60,35K,"Adventure, Fantasy","? eps, 23 min",Felix Film
Jibaku Shounen Hanako-kun 2 Part 2,7.92,31K,Supernatural,"? eps, 23 min",Lerche
Zutaboro Reijou wa Ane no Moto Konyakusha ni Dekiai sareru,7.19,29K,"Comedy, Romance","12 eps, 24 min",LandQ studios
Ame to Kimi to,7.47,29K,Slice of Life,"12 eps, 22 min",Lesprit
Tsuihousha Shokudou e Youkoso!,7.21,29K,"Fantasy, Gourmet","12 eps, 23 min",OLM
Koujo Denka no Kateikyoushi,6.75,28K,Fantasy,"? eps, 23 min",Studio Blanc.
Mattaku Saikin no Tantei to Kitara,7.15,27K,"Comedy, Mystery","12 eps, 23 min",LIDENFILMS
Kizetsu Yuusha to Ansatsu Hime,6.45,27K,"Action, Comedy, Fantasy","? eps, 23 min",Connect
Busu ni Hanataba wo.,6.69,23K,"Comedy, Romance","? eps, 23 min",SILVER LINK.
Game Center Shoujo to Ibunka Kouryuu,6.99,23K,"Comedy, Romance","12 eps, 23 min",Nomad
Busamen Gachi Fighter,6.59,22K,"Action, Adventure, Fantasy","12 eps, 23 min",White Fox
Arknights: Rise from Ember,7.69,22K,"Action, Fantasy","10 eps, 24 min",Yostar Pictures
Nyaight of the Living Cat,6.49,21K,"Action, Horror, Suspense","12 eps, 25 min",OLM
Bad Girl,6.87,20K,Comedy,"12 eps, 23 min",Bridge
Futari Solo Camp,6.56,19K,Slice of Life,"24 eps, 23 min",SynergySP
Jigoku Sensei Nube (2025),6.74,18K,"Comedy, Horror, Supernatural","? eps, 23 min",Studio Kai
"Food Court de, Mata Ashita.",6.93,18K,Slice of Life,"6 eps, 23 min",Atelier Pontdarc
Onmyou Kaiten Re:Birth,6.56,16K,"Action, Fantasy, Sci-Fi","? eps, 22 min",David Production
,,,,N/A,
Dekin no Mogura,6.17,15K,"Comedy, Mystery, Supernatural","12 eps, 23 min",Brain's Base
Hotel Inhumans,6.61,14K,"Action, Drama","13 eps, 23 min",Bridge
Turkey!,6.48,14K,Sports,"? eps, 22 min",Bakken Record
Kizu darake Seijo yori Houfuku wo Komete,5.57,12K,"Fantasy, Romance","6 eps, 14 min",N/A
Fermat no Ryouri,6.72,11K,"Drama, Gourmet","12 eps, 23 min",domerica
Kamitsubaki-shi Kensetsuchuu.,5.55,8.6K,,"12 eps, 23 min",Shogakukan Music & Digital Entertainment
9: Ruler's Crown,5.94,8.2K,"Mystery, Romance","13 eps, 23 min",PRA
Karaoke Iko!,N/A,8.0K,Comedy,"5 eps, 0 min",Doga Kobo
Necronomico no Cosmic Horror Show,5.51,7.9K,,"12 eps, 23 min",Studio Gokumi
"Muchuu sa, Kimi ni.",N/A,6.1K,Slice of Life,"5 eps, 0 min",Doga Kobo
Ginga Tokkyuu Milky☆Subway,6.79,5.3K,"Comedy, Sci-Fi","? eps, 3 min",N/A
Osomatsu-san 4th Season,6.74,5.1K,Comedy,"13 eps, 23 min",Pierrot Films
Utagoe wa Mille-Feuille,6.16,5.0K,,"10 eps, 23 min",Jumondou
Puniru wa Kawaii Slime 2nd Season,6.96,3.6K,Comedy,"12 eps, 23 min",TOHO animation STUDIO
